date,open,high,low,close,volume,symbol
08-08-2025,3207,3214.899902,3135.600098,3144.199951,1721037,M&M
11-08-2025,3150.899902,3230,3130.300049,3186.199951,2046761,M&M
12-08-2025,3186.100098,3253,3185.100098,3236.5,3315978,M&M
13-08-2025,3255,3300,3238.699951,3282.199951,2436029,M&M
14-08-2025,3273.199951,3313.5,3262,3265.399902,1508721,M&M
01-02-2025,713.3665969,718.5718431,694.9251775,700.5269775,14087493,TATAMOTORS
03-02-2025,694.0328492,694.0328492,680.1521922,681.5898438,17806760,TATAMOTORS
04-02-2025,690.3643339,707.268978,687.8360837,704.4928589,16792005,TATAMOTORS
05-02-2025,704.9390248,719.2658567,704.6415942,710.937439,12907325,TATAMOTORS
06-02-2025,716.8367592,717.2333735,702.1133727,703.6005859,10016927,TATAMOTORS
07-02-2025,704.9390515,709.8468671,697.1063711,700.7252808,12259132,TATAMOTORS
10-02-2025,703.6996816,703.8484271,687.1420299,690.0668945,10981963,TATAMOTORS
11-02-2025,690.0668998,691.0583752,669.345039,671.9724731,11939990,TATAMOTORS
12-02-2025,674.2033411,681.6889691,661.3637213,678.5162354,12312424,TATAMOTORS
13-02-2025,678.5161845,687.2412167,673.5588074,678.0204468,8490769,TATAMOTORS
14-02-2025,680.102586,685.0599632,663.4458108,674.8477783,9968127,TATAMOTORS
17-02-2025,672.2203447,684.8120949,661.3636766,680.7470093,10313575,TATAMOTORS
18-02-2025,680.7470343,682.0855625,666.4202622,676.5828857,7810143,TATAMOTORS
19-02-2025,675.9383698,685.0599557,669.2954723,675.1947632,9986815,TATAMOTORS
20-02-2025,674.2032917,686.9437267,669.2459145,683.9197388,8673335,TATAMOTORS
21-02-2025,680.1521777,684.1180796,665.3791689,667.4613037,14577524,TATAMOTORS
24-02-2025,664.2885488,670.8322626,660.322647,662.5534668,8861769,TATAMOTORS
25-02-2025,662.0577424,666.7672508,654.3738075,655.960144,10251257,TATAMOTORS
27-02-2025,656.3567809,659.3312074,640.1461807,643.0214233,12281857,TATAMOTORS
28-02-2025,639.5016556,639.5016556,613.1779949,615.3592529,20477619,TATAMOTORS
03-03-2025,615.3592428,621.5063419,601.1315342,615.8549805,18362700,TATAMOTORS
04-03-2025,608.2206468,623.786824,607.7744708,613.9216309,11878225,TATAMOTORS
05-03-2025,613.7233104,636.1306316,613.326696,635.3374634,12373061,TATAMOTORS
